objid,u,g,r,i,z,ra,dec,flags_r,nvote,elliptical,spiralclock,spiralanticlock,edgeon,dontknow,merger
1237648673995948107,17.50697,15.74549,14.93004,14.5336,14.21868,245.38188754097,-0.0723638925339617,6755674587566096,30,0.933000028133392,0,0,0.0670000016689301,0,0
1237648673996997574,18.58974,16.99068,16.2275,15.77609,15.43725,247.849735762854,-0.0360383013691079,6755674587430928,31,0.160999998450279,0,0.644999980926514,0.160999998450279,0.0320000015199184,0
1237648673997062939,18.41596,17.23816,16.75388,16.45004,16.2776,248.033828596908,-0.0786453044111446,6755674587430928,34,0.441000014543533,0,0.324000000953674,0.118000000715256,0.0879999995231628,0.028999999165535
1237648673997127724,17.15324,15.80188,15.18173,14.80921,14.53041,248.064172006847,-0.0499321378702428,6755674587562000,31,0.0970000028610229,0.741999983787537,0.0320000015199184,0.12899999320507,0,0
1237648673997128266,18.7,16.82385,15.92553,15.50614,15.18773,248.125366326119,-0.0869997647902815,6755674587430928,30,0.933000028133392,0,0,0.0329999998211861,0.0329999998211861,0
1237648674530066790,17.82022,16.37337,15.61044,15.21839,14.87067,239.162222559533,0.351116672952346,6755674587562000,26,0.0769999995827675,0.731000006198883,0.0379999987781048,0.153999999165535,0,0
1237648674530197810,18.54237,16.86702,16.04577,15.5879,15.21532,239.389567873061,0.316140082309149,6755674587566096,72,0.0970000028610229,0.0280000008642673,0.0140000004321337,0.861000001430511,0,0
1237648674530328779,18.74969,17.47721,16.88932,16.54642,16.32421,239.684646822804,0.241074818506521,6755674587430928,54,0.166999995708466,0.592999994754791,0,0.203999996185303,0.0370000004768372,0
1237648674530328964,18.79515,17.24402,16.51092,16.06922,15.76848,239.766946649128,0.246238138959816,6826043331608593,24,0.0829999968409538,0,0.75,0.125,0,0.0419999994337559
1237648674531639615,18.47734,16.84394,15.91882,15.44834,15.12518,242.662865539337,0.295691396172182,6755674587430928,31,0.902999997138977,0.0320000015199184,0,0.0649999976158142,0,0
1237648674531639653,18.02087,16.18131,15.25568,14.78436,14.42617,242.672629656979,0.276520003976515,6755674587430928,40,0.649999976158142,0.025000000372529,0.0500000007450581,0.200000002980232,0.0500000007450581,0.025000000372529
1237648674531705019,18.39788,16.5573,15.63292,15.17375,14.8216,242.919932090277,0.325963285343393,6755674587562000,35,0.971000015735626,0,0,0,0.028999999165535,0
